"","ROI"
"1",23059.8449926496
"2",24506.2767249295
"3",42476.121607776
"4",1599033.81926423
"5",25805.8015037919
"6",20667.9295375481
"7",14618.4406591514
"8",37738.4235016663
"9",NA
"10",18718.8685907605
"11",27318.542929072
"12",NA
"13",29420.1215316625
"14",15999.9417711746
"15",20175.0807265835
"16",27527.7562465154
"17",21797.5694195507
"18",32284.389898414
"19",33630.3941758592
"20",21032.4803337679
"21",19862.0112857953
"22",24281.1597587195
"23",22745.7905000284
"24",27397.5103950819
"25",20491.0466490129
"26",41595.0343687291
"27",14482.6549465339
"28",28416.6749790099
"29",20131.1245680199
"30",40679.4262155964
"31",17280.2763906457
"32",35339.8354449805
"33",30731.9283793285
"34",22398.4378757462
"35",26649.4529549404
"36",34536.5976853789
"37",1313746.85128679
"38",24432.4949441425
"39",17397.8923192518
"40",14808.5341049226
"41",43571.7793658866
"42",NA
"43",21494.709291175
"44",33656.841205132
"45",NA
"46",37448.2801329051
"47",18709.3271498969
"48",21038.3811192244
"49",26738.4855111421
"50",17638.9856365635
"51",40267.2772908216
"52",30677.9783295914
"53",22060.8585820857
"54",20976.6442516582
"55",18808.0242270828
"56",26866.86356141
"57",20833.9001527357
"58",19159.536323047
"59",37176.1388205349
"60",13725.4879859118
"61",25168.1027465033
"62",18922.0103050556
"63",37852.072622692
"64",14647.9363748825
"65",34298.830550195
"66",28162.8085146986
"67",20674.2254375043
"68",NA
"69",20177.0234465109
"70",NA
"71",13216.8553459933
"72",16223.8847650255
"73",14785.8361770658
"74",17831.2855081494
"75",20138.9930079691
"76",46758.1549886913
"77",18581.3376874345
"78",NA
"79",36720.2599720544
"80",NA
"81",19639.9483306022
"82",27790.9689188702
"83",21747.0295267221
"84",23551.497521016
"85",18194.0336034168
"86",11962.7502848692
"87",8431.22657696657
"88",17971.9612597146
"89",NA
"90",14029.8056147443
"91",46519.2022287222
"92",NA
"93",22609.1985435427
"94",NA
"95",25080.7481805116
"96",27096.7410229827
"97",23339.5914463604
"98",48359.7077169735
"99",27763.144601086
"100",15143.6929099842
"101",30522.7019120131
"102",38861.0807891407
"103",55098.4689783508
"104",22036.1085169137
"105",15403.0039056184
"106",NA
"107",23215.750117651
"108",17127.4853851981
"109",34207.4786889221
"110",24850.3669683875
"111",20713.1591252425
"112",58063.495874425
"113",29974.6276458838
"114",12400.5546764322
"115",27918.1224752477
"116",NA
"117",27816.5890531042
"118",13118.8577498394
"119",41035.300361958
"120",40198.6939586168
"121",NA
"122",23303.2162691509
"123",NA
"124",7499.87160924315
"125",38719.0865961663
"126",29365.4801120437
"127",32160.3205823164
"128",16153.0919316709
"129",24514.9072380786
"130",30510.4385391634
"131",18371.2453348111
"132",21158.3253313766
"133",32560.4506581333
"134",NA
"135",12979.3573804885
"136",NA
"137",33272.4776589921
"138",NA
"139",35729.9405992062
"140",17421.7166691579
"141",14082.9900608111
"142",NA
"143",44412.8243684534
"144",17403.8270016247
"145",45151.9850485983
"146",23624.3513986793
"147",21200.4419034063
"148",23847.3622599734
"149",25466.9758807569
"150",23482.7434929155
"151",25570.2155455837
"152",NA
"153",21775.2641325518
"154",24253.4423409621
"155",29563.4515844488
"156",17830.4605759235
"157",8809.22450564096
"158",12865.1840860458
"159",NA
"160",41086.8148236996
"161",19880.6625269501
"162",20775.0625873934
"163",23782.5856161505
"164",17633.2284939137
"165",20961.4798357506
"166",34592.5021587928
"167",29327.2725627229
"168",5556.27250467152
"169",14115.6225708137
"170",25067.3894075155
"171",34675.0393814163
"172",14294.0962257437
"173",18415.9313250286
"174",19543.4996522117
"175",28248.6262274179
"176",25031.5322464359
"177",31506.6423333716
"178",16112.8417079341
"179",17296.8980539687
"180",NA
