"sale_price","size","Address","Cities","Postal.Code","State","Full.Address","lon","lat","address"
"$340,000 ","3bd2ba1,452 sqft","29 Kirby Rd"," Asheville","28806"," NC","29 Kirby Rd,  Asheville,  NC 28806, usa",-82.6360841,35.5508184,"29 kirby rd, asheville, nc 28806, usa"
"$315,000 ","2bd2ba1,020 sqft","17 Larchmont Rd"," Asheville","28804"," NC","17 Larchmont Rd,  Asheville,  NC 28804, usa",-82.5552081,35.6241461,"17 larchmont rd, asheville, nc 28804, usa"
"$595,000 ","4bd3ba2,068 sqft","82 Madison Ave"," Asheville","28801"," NC","82 Madison Ave,  Asheville,  NC 28801, usa",-82.54876,35.605963,"82 madison ave, asheville, nc 28801, usa"
"$349,900 ","3bd2ba1,566 sqft (on 0.29 acres)","138 Hemphill Rd"," Asheville","28803"," NC","138 Hemphill Rd,  Asheville,  NC 28803, usa",-82.484848,35.5642236,"138 hemphill rd, asheville, nc 28803, usa"
"$745,000 ","3bd3ba1,896 sqft","23 Mauricet Ln"," Asheville","28806"," NC","23 Mauricet Ln,  Asheville,  NC 28806, usa",-82.5932109,35.5842065,"23 mauricet ln, asheville, nc 28806, usa"
"$350,000 ","3bd2ba1,412 sqft (on 1.20 acres)","37 Church Rd"," Asheville","28804"," NC","37 Church Rd,  Asheville,  NC 28804, usa",-82.592639,35.6378669,"37 church rd, woodfin, nc 28804, usa"
"$285,000 ","2bd1ba945 sqft","55 Deaver Park Cir"," Asheville","28806"," NC","55 Deaver Park Cir,  Asheville,  NC 28806, usa",-82.6244761,35.5793156,"55 deaver park cir, asheville, nc 28806, usa"
"$51,400+","3bd2ba928 sqft","70921 Plan in Riverview"," Asheville","28806"," NC","70921 Plan in Riverview,  Asheville,  NC 28806, usa",-82.5706338,35.5762143,"riverview dr, asheville, nc 28806, usa"
"$925,000 ","4bd3ba2,509 sqft (on 0.36 acres)","42 Rosewood Ave"," Asheville","28801"," NC","42 Rosewood Ave,  Asheville,  NC 28801, usa",-82.5700823,35.6027028,"42 rosewood ave, asheville, nc 28801, usa"
"$650,000 ","3bd3ba2,466 sqft","10 Holland Mountain Vw"," Asheville","28804"," NC","10 Holland Mountain Vw,  Asheville,  NC 28804, usa",-82.5882751,35.6926283,"10 holland mountain vw, asheville, nc 28804, usa"
"$649,000 ","2bd3ba1,430 sqft (on 0.28 acres)","109 Thurland Ave"," Asheville","28803"," NC","109 Thurland Ave,  Asheville,  NC 28803, usa",-82.5413349,35.5814223,"109 thurland ave, asheville, nc 28803, usa"
"$599,900 ","3bd3ba1,538 sqft","35 Rangeley Dr"," Asheville","28803"," NC","35 Rangeley Dr,  Asheville,  NC 28803, usa",-82.5158649,35.5373596,"35 rangeley dr, asheville, nc 28803, usa"
"$2,490,000 ","4bd5ba3,782 sqft (on 0.67 acres)","325 Flowering Vine Ct"," Asheville","28803"," NC","325 Flowering Vine Ct,  Asheville,  NC 28803, usa",-82.5530804,35.5020185,"flowering vine ct, north carolina 28803, usa"
"$430,000 ","7bd3,108 sqft (on 1.58 acres)","18 Willow Ct"," Asheville","28805"," NC","18 Willow Ct,  Asheville,  NC 28805, usa",-82.478271,35.604754,"18 willow ct, asheville, nc 28805, usa"
"$249,000 ","3bd2ba1,523 sqft (on 0.48 acres)","25 Udell Ct"," Asheville","28806"," NC","25 Udell Ct,  Asheville,  NC 28806, usa",-82.6428369,35.5775058,"25 udell ct, asheville, nc 28806, usa"
"$795,000 ","3bd4ba2,883 sqft (on 0.69 acres)","10 Shackleford Dr"," Asheville","28806"," NC","10 Shackleford Dr,  Asheville,  NC 28806, usa",-82.6056036,35.5052697,"10 shackleford dr, asheville, nc 28806, usa"
"$699,000 ","3bd1ba1,260 sqft (on 1.16 acres)","71 Lanvale Ave"," Asheville City","28806"," NC","71 Lanvale Ave,  Asheville City,  NC 28806, usa",-82.5984482,35.5781844,"71 lanvale ave, asheville, nc 28806, usa"
"$699,000 ","4bd3ba2,958 sqft (on 0.60 acres)","124 Overlook Rd"," Asheville","28803"," NC","124 Overlook Rd,  Asheville,  NC 28803, usa",-82.5315835,35.4957701,"124 overlook rd, asheville, nc 28803, usa"
"$1,200,000 ","4bd2ba2,264 sqft (on 9.32 acres)","320 Upper Grassy Branch Rd"," Asheville","28805"," NC","320 Upper Grassy Branch Rd,  Asheville,  NC 28805, usa",-82.4860841,35.6057306,"320 upper grassy branch rd, asheville, nc 28805, usa"
"$649,900 ","4bd2ba2,191 sqft (on 1.49 acres)","320 Hi Alta Ave"," Asheville","28806"," NC","320 Hi Alta Ave,  Asheville,  NC 28806, usa",-82.6280642,35.5809381,"320 hi alta ave, asheville, nc 28806, usa"
"$899,000 ","3bd3ba2,813 sqft (on 0.26 acres)","27 Acadia Dr"," Asheville","28806"," NC","27 Acadia Dr,  Asheville,  NC 28806, usa",-82.6130099,35.6098797,"27 acadia dr, asheville, nc 28806, usa"
"$89,900 ","","99999 Hillcrest Rd"," Asheville","28804"," NC","99999 Hillcrest Rd,  Asheville,  NC 28804, usa",-82.5756739,35.649806,"hillcrest rd, asheville, nc 28804, usa"
"$379,900 ","3bd3ba1,404 sqft","9 Arbutus Rd"," Asheville","28805"," NC","9 Arbutus Rd,  Asheville,  NC 28805, usa",-82.4935115,35.5854158,"9 arbutus rd, asheville, nc 28805, usa"
"$625,000 ","3bd2ba1,989 sqft","70 Longview Rd"," Asheville","28806"," NC","70 Longview Rd,  Asheville,  NC 28806, usa",-82.5718144,35.5760358,"70 longview rd, asheville, nc 28806, usa"
"$650,000 ","4bd3ba2,754 sqft (on 0.82 acres)","149 Pinners Cove Rd"," Asheville","28803"," NC","149 Pinners Cove Rd,  Asheville,  NC 28803, usa",-82.4955061,35.4991006,"149 pinners cove rd, asheville, nc 28803, usa"
"$750,000 ","4bd3ba2,976 sqft (on 0.74 acres)","305 E Sondley Dr"," Asheville","28805"," NC","305 E Sondley Dr,  Asheville,  NC 28805, usa",-82.4980539,35.6228322,"305 e sondley dr, asheville, nc 28805, usa"
"$345,000 ","3bd2ba1,271 sqft","3 Pelzer St"," Asheville","28804"," NC","3 Pelzer St,  Asheville,  NC 28804, usa",-82.5769683,35.6314643,"3 pelzer st, woodfin, nc 28804, usa"
"$1,525,000 ","4bd4ba4,038 sqft (on 3.37 acres)","7 Snowbird Dr"," Asheville","28804"," NC","7 Snowbird Dr,  Asheville,  NC 28804, usa",-82.5051153,35.6288227,"7 snowbird dr, asheville, nc 28804, usa"
"$54,100+","3bd2ba928 sqft","69394 Plan in Ridgeview - Active 55+ Senior Community"," Asheville","28806"," NC","69394 Plan in Ridgeview - Active 55+ Senior Community,  Asheville,  NC 28806, usa",-82.5194618,35.6500821,"ridgeview dr, asheville, nc 28804, usa"
"$310,000 ","2bd2ba1,045 sqft","9 Rocking Porch Rd"," Asheville","28805"," NC","9 Rocking Porch Rd,  Asheville,  NC 28805, usa",-82.517331,35.5988309,"9 rocking porch rd, asheville, nc 28805, usa"
"$899,000 ","4bd3ba2,724 sqft (on 0.57 acres)","8 Bevlyn Dr"," Asheville","28803"," NC","8 Bevlyn Dr,  Asheville,  NC 28803, usa",-82.5246929,35.4919393,"8 bevlyn dr, asheville, nc 28803, usa"
"$599,000 ","2bd3ba2,296 sqft (on 0.35 acres)","22 Carjen Ave"," Asheville","28804"," NC","22 Carjen Ave,  Asheville,  NC 28804, usa",-82.5722369,35.6360994,"22 carjen ave, asheville, nc 28804, usa"
"$724,475 ","4bd3ba1,994 sqft (on 0.32 acres)","134 Lookout Dr"," Asheville","28804"," NC","134 Lookout Dr,  Asheville,  NC 28804, usa",-82.559773,35.6225864,"134 lookout dr, asheville, nc 28804, usa"
"$435,990+","4bd3ba2,824 sqft","Wilmington Plan in Fountain Park"," Asheville","28806"," NC","Wilmington Plan in Fountain Park,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$349,900 ","","8 Grovepoint Way"," Asheville","28804"," NC","8 Grovepoint Way,  Asheville,  NC 28804, usa",-82.5388271,35.6310836,"8 grovepoint way, asheville, nc 28804, usa"
"$149,900 ","","70 Windover Dr"," Asheville","28803"," NC","70 Windover Dr,  Asheville,  NC 28803, usa",-82.489025,35.509546,"70 windover dr, asheville, nc 28803, usa"
"$428,990+","4bd3ba2,565 sqft","Winston Plan in Fountain Park"," Asheville","28806"," NC","Winston Plan in Fountain Park,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$725,000 ","2bd5ba2,646 sqft (on 0.38 acres)","119 Bull Mountain Rd"," Asheville","28805"," NC","119 Bull Mountain Rd,  Asheville,  NC 28805, usa",-82.4915717,35.5918841,"119 bull mountain rd, asheville, nc 28805, usa"
"$2,650,000 ","4bd3ba3,892 sqft (on 0.29 acres)","158 Kimberly Ave"," Asheville","28804"," NC","158 Kimberly Ave,  Asheville,  NC 28804, usa",-82.5500692,35.6170236,"158 kimberly ave, asheville, nc 28804, usa"
"$1,200,000 ","4bd2ba3,228 sqft (on 1.19 acres)","13 Kent Pl"," Asheville","28804"," NC","13 Kent Pl,  Asheville,  NC 28804, usa",-82.5331606,35.6469997,"kent pl, asheville, nc 28804, usa"
"$340,000 ","3bd2ba1,452 sqft","29 Kirby Rd"," Asheville","28806"," NC","29 Kirby Rd,  Asheville,  NC 28806, usa",-82.6360841,35.5508184,"29 kirby rd, asheville, nc 28806, usa"
"$315,000 ","2bd2ba1,020 sqft","17 Larchmont Rd"," Asheville","28804"," NC","17 Larchmont Rd,  Asheville,  NC 28804, usa",-82.5552081,35.6241461,"17 larchmont rd, asheville, nc 28804, usa"
"$595,000 ","4bd3ba2,068 sqft","82 Madison Ave"," Asheville","28801"," NC","82 Madison Ave,  Asheville,  NC 28801, usa",-82.54876,35.605963,"82 madison ave, asheville, nc 28801, usa"
"$349,900 ","3bd2ba1,566 sqft (on 0.29 acres)","138 Hemphill Rd"," Asheville","28803"," NC","138 Hemphill Rd,  Asheville,  NC 28803, usa",-82.484848,35.5642236,"138 hemphill rd, asheville, nc 28803, usa"
"$745,000 ","3bd3ba1,896 sqft","23 Mauricet Ln"," Asheville","28806"," NC","23 Mauricet Ln,  Asheville,  NC 28806, usa",-82.5932109,35.5842065,"23 mauricet ln, asheville, nc 28806, usa"
"$350,000 ","3bd2ba1,412 sqft (on 1.20 acres)","37 Church Rd"," Asheville","28804"," NC","37 Church Rd,  Asheville,  NC 28804, usa",-82.592639,35.6378669,"37 church rd, woodfin, nc 28804, usa"
"$285,000 ","2bd1ba945 sqft","55 Deaver Park Cir"," Asheville","28806"," NC","55 Deaver Park Cir,  Asheville,  NC 28806, usa",-82.6244761,35.5793156,"55 deaver park cir, asheville, nc 28806, usa"
"$51,400+","3bd2ba928 sqft","70921 Plan in Riverview"," Asheville","28806"," NC","70921 Plan in Riverview,  Asheville,  NC 28806, usa",-82.5706338,35.5762143,"riverview dr, asheville, nc 28806, usa"
"$925,000 ","4bd3ba2,509 sqft (on 0.36 acres)","42 Rosewood Ave"," Asheville","28801"," NC","42 Rosewood Ave,  Asheville,  NC 28801, usa",-82.5700823,35.6027028,"42 rosewood ave, asheville, nc 28801, usa"
"$650,000 ","3bd3ba2,466 sqft","10 Holland Mountain Vw"," Asheville","28804"," NC","10 Holland Mountain Vw,  Asheville,  NC 28804, usa",-82.5882751,35.6926283,"10 holland mountain vw, asheville, nc 28804, usa"
"$649,000 ","2bd3ba1,430 sqft (on 0.28 acres)","109 Thurland Ave"," Asheville","28803"," NC","109 Thurland Ave,  Asheville,  NC 28803, usa",-82.5413349,35.5814223,"109 thurland ave, asheville, nc 28803, usa"
"$599,900 ","3bd3ba1,538 sqft","35 Rangeley Dr"," Asheville","28803"," NC","35 Rangeley Dr,  Asheville,  NC 28803, usa",-82.5158649,35.5373596,"35 rangeley dr, asheville, nc 28803, usa"
"$2,490,000 ","4bd5ba3,782 sqft (on 0.67 acres)","325 Flowering Vine Ct"," Asheville","28803"," NC","325 Flowering Vine Ct,  Asheville,  NC 28803, usa",-82.5530804,35.5020185,"flowering vine ct, north carolina 28803, usa"
"$430,000 ","7bd3,108 sqft (on 1.58 acres)","18 Willow Ct"," Asheville","28805"," NC","18 Willow Ct,  Asheville,  NC 28805, usa",-82.478271,35.604754,"18 willow ct, asheville, nc 28805, usa"
"$249,000 ","3bd2ba1,523 sqft (on 0.48 acres)","25 Udell Ct"," Asheville","28806"," NC","25 Udell Ct,  Asheville,  NC 28806, usa",-82.6428369,35.5775058,"25 udell ct, asheville, nc 28806, usa"
"$795,000 ","3bd4ba2,883 sqft (on 0.69 acres)","10 Shackleford Dr"," Asheville","28806"," NC","10 Shackleford Dr,  Asheville,  NC 28806, usa",-82.6056036,35.5052697,"10 shackleford dr, asheville, nc 28806, usa"
"$699,000 ","3bd1ba1,260 sqft (on 1.16 acres)","71 Lanvale Ave"," Asheville City","28806"," NC","71 Lanvale Ave,  Asheville City,  NC 28806, usa",-82.5984482,35.5781844,"71 lanvale ave, asheville, nc 28806, usa"
"$699,000 ","4bd3ba2,958 sqft (on 0.60 acres)","124 Overlook Rd"," Asheville","28803"," NC","124 Overlook Rd,  Asheville,  NC 28803, usa",-82.5315835,35.4957701,"124 overlook rd, asheville, nc 28803, usa"
"$1,200,000 ","4bd2ba2,264 sqft (on 9.32 acres)","320 Upper Grassy Branch Rd"," Asheville","28805"," NC","320 Upper Grassy Branch Rd,  Asheville,  NC 28805, usa",-82.4860841,35.6057306,"320 upper grassy branch rd, asheville, nc 28805, usa"
"$649,900 ","4bd2ba2,191 sqft (on 1.49 acres)","320 Hi Alta Ave"," Asheville","28806"," NC","320 Hi Alta Ave,  Asheville,  NC 28806, usa",-82.6280642,35.5809381,"320 hi alta ave, asheville, nc 28806, usa"
"$899,000 ","3bd3ba2,813 sqft (on 0.26 acres)","27 Acadia Dr"," Asheville","28806"," NC","27 Acadia Dr,  Asheville,  NC 28806, usa",-82.6130099,35.6098797,"27 acadia dr, asheville, nc 28806, usa"
