"sale_price","size","name"
"$340,000","3bd2ba1,452 sqft","29 Kirby Rd, Asheville, NC 28806"
"$315,000","2bd2ba1,020 sqft","17 Larchmont Rd, Asheville, NC 28804"
"$595,000","4bd3ba2,068 sqft","82 Madison Ave, Asheville, NC 28801"
"$349,900","3bd2ba1,566 sqft (on 0.29 acres)","138 Hemphill Rd, Asheville, NC 28803"
"$745,000","3bd3ba1,896 sqft","23 Mauricet Ln, Asheville, NC 28806"
"$350,000","3bd2ba1,412 sqft (on 1.20 acres)","37 Church Rd, Asheville, NC 28804"
"$285,000","2bd1ba945 sqft","55 Deaver Park Cir, Asheville, NC 28806"
"$51,400+","3bd2ba928 sqft","70921 Plan in Riverview, Asheville, NC 28806"
"$925,000","4bd3ba2,509 sqft (on 0.36 acres)","42 Rosewood Ave, Asheville, NC 28801"
"$650,000","3bd3ba2,466 sqft","10 Holland Mountain Vw, Asheville, NC 28804"
"$649,000","2bd3ba1,430 sqft (on 0.28 acres)","109 Thurland Ave  #111, Asheville, NC 28803"
"$599,900","3bd3ba1,538 sqft","35 Rangeley Dr   #9, Asheville, NC 28803"
"$2,490,000","4bd5ba3,782 sqft (on 0.67 acres)","325 Flowering Vine Ct   #616, Asheville, NC 28803"
"$430,000","7bd3,108 sqft (on 1.58 acres)","18 Willow Ct, Asheville, NC 28805"
"$249,000","3bd2ba1,523 sqft (on 0.48 acres)","25 Udell Ct, Asheville, NC 28806"
"$795,000","3bd4ba2,883 sqft (on 0.69 acres)","10 Shackleford Dr, Asheville, NC 28806"
"$699,000","3bd1ba1,260 sqft (on 1.16 acres)","71 Lanvale Ave, Asheville City, NC 28806"
"$699,000","4bd3ba2,958 sqft (on 0.60 acres)","124 Overlook Rd, Asheville, NC 28803"
"$1,200,000","4bd2ba2,264 sqft (on 9.32 acres)","320 Upper Grassy Branch Rd, Asheville, NC 28805"
"$649,900","4bd2ba2,191 sqft (on 1.49 acres)","320 Hi Alta Ave, Asheville, NC 28806"
"$899,000","3bd3ba2,813 sqft (on 0.26 acres)","27 Acadia Dr, Asheville, NC 28806"
"$89,900","","99999 Hillcrest Rd   #C, Asheville, NC 28804"
