"","X","sale_price","size","Address","Cities","Postal.Code","State","lon","lat","Full.Address","sqft","bath","bed","psf","Predicted.Occupancy.per.yr","ROI"
"1",1,340000,"3bd2ba1,452 sqft","29 Kirby Rd","Asheville",28806,"NC",-82.6360841,35.5508184,"29 kirby rd, asheville, nc 28806, usa",1452,2,3,234.16,207.7463513,0.0678230735077929
"2",2,315000,"2bd2ba1,020 sqft","17 Larchmont Rd","Asheville",28804,"NC",-82.5552081,35.6241461,"17 larchmont rd, asheville, nc 28804, usa",1020,2,2,308.82,209.3956997,0.0777977038886651
"3",3,595000,"4bd3ba2,068 sqft","82 Madison Ave","Asheville",28801,"NC",-82.54876,35.605963,"82 madison ave, asheville, nc 28801, usa",2068,3,4,287.72,234.6935452,0.0713884396769345
"4",4,349900,"3bd2ba1,566 sqft (on 0.29 acres)","138 Hemphill Rd","Asheville",28803,"NC",-82.484848,35.5642236,"138 hemphill rd, asheville, nc 28803, usa",1566,2,3,223.44,235.6871382,4.56997376182975
"5",5,745000,"3bd3ba1,896 sqft","23 Mauricet Ln","Asheville",28806,"NC",-82.5932109,35.5842065,"23 mauricet ln, asheville, nc 28806, usa",1896,3,3,392.93,203.0801554,0.0346386597366334
"6",6,350000,"3bd2ba1,412 sqft (on 1.20 acres)","37 Church Rd","Asheville",28804,"NC",-82.592639,35.6378669,"37 church rd, woodfin, nc 28804, usa",1412,2,3,247.88,230.8406129,0.0590512272501374
"7",7,285000,"2bd1ba945 sqft","55 Deaver Park Cir","Asheville",28806,"NC",-82.6244761,35.5793156,"55 deaver park cir, asheville, nc 28806, usa",945,1,2,301.59,190.0298312,0.0512927742426365
"8",8,925000,"4bd3ba2,509 sqft (on 0.36 acres)","42 Rosewood Ave","Asheville",28801,"NC",-82.5700823,35.6027028,"42 rosewood ave, asheville, nc 28801, usa",2509,3,4,368.67,194.3307952,0.0407982956774771
"9",9,650000,"3bd3ba2,466 sqft","10 Holland Mountain Vw","Asheville",28804,"NC",-82.5882751,35.6926283,"10 holland mountain vw, asheville, nc 28804, usa",2466,3,3,263.58,211.5795243,NA
"10",10,649000,"2bd3ba1,430 sqft (on 0.28 acres)","109 Thurland Ave","Asheville",28803,"NC",-82.5413349,35.5814223,"109 thurland ave, asheville, nc 28803, usa",1430,3,2,453.85,182.2608914,0.0288426326514029
"11",11,599900,"3bd3ba1,538 sqft","35 Rangeley Dr","Asheville",28803,"NC",-82.5158649,35.5373596,"35 rangeley dr, asheville, nc 28803, usa",1538,3,3,390.05,153.6908182,0.0455384946308918
"12",12,2490000,"4bd5ba3,782 sqft (on 0.67 acres)","325 Flowering Vine Ct","Asheville",28803,"NC",-82.5530804,35.5020185,"flowering vine ct, north carolina 28803, usa",3782,5,4,658.38,168.9837075,NA
"13",13,430000,"7bd3,108 sqft (on 1.58 acres)","18 Willow Ct","Asheville",28805,"NC",-82.478271,35.604754,"18 willow ct, asheville, nc 28805, usa",3108,NA,7,138.35,166.7256002,0.068418887282936
"14",14,249000,"3bd2ba1,523 sqft (on 0.48 acres)","25 Udell Ct","Asheville",28806,"NC",-82.6428369,35.5775058,"25 udell ct, asheville, nc 28806, usa",1523,2,3,163.49,160.3583149,0.0642567942617454
"15",15,795000,"3bd4ba2,883 sqft (on 0.69 acres)","10 Shackleford Dr","Asheville",28806,"NC",-82.6056036,35.5052697,"10 shackleford dr, asheville, nc 28806, usa",2883,4,3,275.75,177.5234132,0.0253774600334384
"16",16,699000,"3bd1ba1,260 sqft (on 1.16 acres)","71 Lanvale Ave","Asheville city",28806,"NC",-82.5984482,35.5781844,"71 lanvale ave, asheville, nc 28806, usa",1260,1,3,554.76,217.1600111,0.0393816255314956
"17",17,699000,"4bd3ba2,958 sqft (on 0.60 acres)","124 Overlook Rd","Asheville",28803,"NC",-82.5315835,35.4957701,"124 overlook rd, asheville, nc 28803, usa",2958,3,4,236.31,229.4480992,0.0311839333613029
"18",18,1200000,"4bd2ba2,264 sqft (on 9.32 acres)","320 Upper Grassy Branch Rd","Asheville",28805,"NC",-82.4860841,35.6057306,"320 upper grassy branch rd, asheville, nc 28805, usa",2264,2,4,530.04,188.9491399,0.0269036582486783
"19",19,649900,"4bd2ba2,191 sqft (on 1.49 acres)","320 Hi Alta Ave","Asheville",28806,"NC",-82.6280642,35.5809381,"320 hi alta ave, asheville, nc 28806, usa",2191,2,4,296.62,204.2519569,0.0517470290442517
"20",20,899000,"3bd3ba2,813 sqft (on 0.26 acres)","27 Acadia Dr","Asheville",28806,"NC",-82.6130099,35.6098797,"27 acadia dr, asheville, nc 28806, usa",2813,3,3,319.59,185.4832911,0.0233954175014103
"21",21,379900,"3bd3ba1,404 sqft","9 Arbutus Rd","Asheville",28805,"NC",-82.4935115,35.5854158,"9 arbutus rd, asheville, nc 28805, usa",1404,3,3,270.58,194.6540369,0.0522822092282056
"22",22,625000,"3bd2ba1,989 sqft","70 Longview Rd","Asheville",28806,"NC",-82.5718144,35.5760358,"70 longview rd, asheville, nc 28806, usa",1989,2,3,314.23,186.3481179,0.0388498556139512
"23",23,650000,"4bd3ba2,754 sqft (on 0.82 acres)","149 Pinners Cove Rd","Asheville",28803,"NC",-82.4955061,35.4991006,"149 pinners cove rd, asheville, nc 28803, usa",2754,3,4,236.02,166.4650944,0.0349935238461975
"24",24,750000,"4bd3ba2,976 sqft (on 0.74 acres)","305 E Sondley Dr","Asheville",28805,"NC",-82.4980539,35.6228322,"305 e sondley dr, asheville, nc 28805, usa",2976,3,4,252.02,240.3290386,0.0365300138601092
"25",25,345000,"3bd2ba1,271 sqft","3 Pelzer St","Asheville",28804,"NC",-82.5769683,35.6314643,"3 pelzer st, woodfin, nc 28804, usa",1271,2,3,271.44,213.3791869,0.0593943381130809
"26",26,1525000,"4bd4ba4,038 sqft (on 3.37 acres)","7 Snowbird Dr","Asheville",28804,"NC",-82.5051153,35.6288227,"7 snowbird dr, asheville, nc 28804, usa",4038,4,4,377.66,207.9751718,0.0272754323729371
"27",27,310000,"2bd2ba1,045 sqft","9 Rocking Porch Rd","Asheville",28805,"NC",-82.517331,35.5988309,"9 rocking porch rd, asheville, nc 28805, usa",1045,2,2,296.65,200.0366705,0.0467182417630126
"28",28,899000,"4bd3ba2,724 sqft (on 0.57 acres)","8 Bevlyn Dr","Asheville",28803,"NC",-82.5246929,35.4919393,"8 bevlyn dr, asheville, nc 28803, usa",2724,3,4,330.03,192.0045607,0.0316092046485093
"29",29,599000,"2bd3ba2,296 sqft (on 0.35 acres)","22 Carjen Ave","Asheville",28804,"NC",-82.5722369,35.6360994,"22 carjen ave, asheville, nc 28804, usa",2296,3,2,260.89,218.5337896,0.0336078874257427
"30",30,724475,"4bd3ba1,994 sqft (on 0.32 acres)","134 Lookout Dr","Asheville",28804,"NC",-82.559773,35.6225864,"134 lookout dr, asheville, nc 28804, usa",1994,3,4,363.33,215.8940767,0.0561502139005437
"31",31,725000,"2bd5ba2,646 sqft (on 0.38 acres)","119 Bull Mountain Rd","Asheville",28805,"NC",-82.4915717,35.5918841,"119 bull mountain rd, asheville, nc 28805, usa",2646,5,2,274,204.5003123,0.0238348639870975
"32",32,2650000,"4bd3ba3,892 sqft (on 0.29 acres)","158 Kimberly Ave","Asheville",28804,"NC",-82.5500692,35.6170236,"158 kimberly ave, asheville, nc 28804, usa",3892,3,4,680.88,195.8195584,0.01333578696037
"33",33,1200000,"4bd2ba3,228 sqft (on 1.19 acres)","13 Kent Pl","Asheville",28804,"NC",-82.5331606,35.6469997,"kent pl, asheville, nc 28804, usa",3228,2,4,371.75,208.2422492,0.0256099403161071
"34",34,340000,"3bd2ba1,452 sqft","29 Kirby Rd","Asheville",28806,"NC",-82.6360841,35.5508184,"29 kirby rd, asheville, nc 28806, usa",1452,2,3,234.16,201.7877286,0.0658777584580771
"35",35,315000,"2bd2ba1,020 sqft","17 Larchmont Rd","Asheville",28804,"NC",-82.5552081,35.6241461,"17 larchmont rd, asheville, nc 28804, usa",1020,2,2,308.82,227.708228,0.0846014379521917
